kernel,total0,total1,total2,total3,total4,total5,total6,total7,total8,total9,periter0,periter1,periter2,periter3,periter4,periter5,periter6,periter7,periter8,periter9
hotspot,3227,3192,3212,3207,3140,3131,3183,3197,3219,3236,3227.000000,3192.000000,3212.000000,3207.000000,3140.000000,3131.000000,3183.000000,3197.000000,3219.000000,3236.000000
kmeans,2355160,2346734,2345627,2349789,2347449,2353294,2350519,2344263,2355291,2346002,16943.597122,16882.978417,16875.014388,16904.956835,16888.122302,16930.172662,16910.208633,16865.201439,16944.539568,16877.712230
lavamd,728745,728753,728769,728775,728777,728770,728768,728746,728754,728758,728745.000000,728753.000000,728769.000000,728775.000000,728777.000000,728770.000000,728768.000000,728746.000000,728754.000000,728758.000000
nn,193,197,197,208,195,224,211,226,203,195,193.000000,197.000000,197.000000,208.000000,195.000000,224.000000,211.000000,226.000000,203.000000,195.000000
nw1,44455,45147,44958,45017,44584,45186,45014,44390,45366,44594,347.304688,352.710938,351.234375,351.695312,348.312500,353.015625,351.671875,346.796875,354.421875,348.390625
nw2,42083,41901,41913,42373,42180,41066,41869,42109,42477,42374,331.362205,329.929134,330.023622,333.645669,332.125984,323.354331,329.677165,331.566929,334.464567,333.653543
pathfinder,407479,407456,407468,407465,407483,407450,407464,407440,407449,407443,81495.800000,81491.200000,81493.600000,81493.000000,81496.600000,81490.000000,81492.800000,81488.000000,81489.800000,81488.600000
srad,12870,12719,12804,12631,12683,12578,12784,12822,12628,12767,1287.000000,1271.900000,1280.400000,1263.100000,1268.300000,1257.800000,1278.400000,1282.200000,1262.800000,1276.700000
backprop1,23556,23576,23562,23564,23567,23558,23530,23547,23574,23551,23556.000000,23576.000000,23562.000000,23564.000000,23567.000000,23558.000000,23530.000000,23547.000000,23574.000000,23551.000000
backprop2,4723,4732,4773,4749,4762,4742,4725,4738,4726,4731,4723.000000,4732.000000,4773.000000,4749.000000,4762.000000,4742.000000,4725.000000,4738.000000,4726.000000,4731.000000
lud1,101,102,102,134,123,112,101,103,103,106,101.000000,102.000000,102.000000,134.000000,123.000000,112.000000,101.000000,103.000000,103.000000,106.000000
lud2,1149,1170,1116,1171,1147,1106,1134,1167,1119,1146,1149.000000,1170.000000,1116.000000,1171.000000,1147.000000,1106.000000,1134.000000,1167.000000,1119.000000,1146.000000
lud3,51196,51209,51219,51235,51233,51227,51242,51231,51238,51225,51196.000000,51209.000000,51219.000000,51235.000000,51233.000000,51227.000000,51242.000000,51231.000000,51238.000000,51225.000000
leukocyte1,417171,417187,417219,417219,417229,417204,417239,417234,417226,417221,417171.000000,417187.000000,417219.000000,417219.000000,417229.000000,417204.000000,417239.000000,417234.000000,417226.000000,417221.000000
leukocyte2,272856,272859,272850,272882,272841,272853,272873,272847,272895,272888,272856.000000,272859.000000,272850.000000,272882.000000,272841.000000,272853.000000,272873.000000,272847.000000,272895.000000,272888.000000
hybridsort1,5935,5992,5954,5876,5928,5907,5962,5916,5963,5930,5935.000000,5992.000000,5954.000000,5876.000000,5928.000000,5907.000000,5962.000000,5916.000000,5963.000000,5930.000000
hybridsort2,13234,13235,13287,13252,13263,13250,13197,13019,12980,13274,13234.000000,13235.000000,13287.000000,13252.000000,13263.000000,13250.000000,13197.000000,13019.000000,12980.000000,13274.000000
hybridsort3,1624,1641,1615,1577,1617,1614,1600,1655,1667,1610,1624.000000,1641.000000,1615.000000,1577.000000,1617.000000,1614.000000,1600.000000,1655.000000,1667.000000,1610.000000
hotspot3D,293513,304014,295106,291472,292111,290453,295995,299299,295890,296654,97837.666667,101338.000000,98368.666667,97157.333333,97370.333333,96817.666667,98665.000000,99766.333333,98630.000000,98884.666667
cfd,479,470,481,409,479,473,453,442,450,473,479.000000,470.000000,481.000000,409.000000,479.000000,473.000000,453.000000,442.000000,450.000000,473.000000
bptree,20410,20354,20384,20467,20393,20399,20402,20396,20375,20391,20410.000000,20354.000000,20384.000000,20467.000000,20393.000000,20399.000000,20402.000000,20396.000000,20375.000000,20391.000000
particlefilter1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
particlefilter2,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
streamcluster,56307,46825,51815,50799,48931,49972,54242,51602,53000,57601,56307.000000,46825.000000,51815.000000,50799.000000,48931.000000,49972.000000,54242.000000,51602.000000,53000.000000,57601.000000
bfs,1955,1898,2053,1903,2000,1934,1952,1918,1904,1899,195.500000,189.800000,205.300000,190.300000,200.000000,193.400000,195.200000,191.800000,190.400000,189.900000
fft,349,395,347,366,383,379,386,369,399,385,349.000000,395.000000,347.000000,366.000000,383.000000,379.000000,386.000000,369.000000,399.000000,385.000000
gemm,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
md,8793,8800,8825,8991,9013,8779,9013,8882,8873,8982,8793.000000,8800.000000,8825.000000,8991.000000,9013.000000,8779.000000,9013.000000,8882.000000,8873.000000,8982.000000
md5hash,39079,39094,39058,39058,39056,39062,39018,39072,39074,39052,39079.000000,39094.000000,39058.000000,39058.000000,39056.000000,39062.000000,39018.000000,39072.000000,39074.000000,39052.000000
reduction,581,560,616,547,550,555,616,543,564,555,581.000000,560.000000,616.000000,547.000000,550.000000,555.000000,616.000000,543.000000,564.000000,555.000000
spmv,4599,4583,4552,4584,4557,4573,4590,4612,4579,4567,4599.000000,4583.000000,4552.000000,4584.000000,4557.000000,4573.000000,4590.000000,4612.000000,4579.000000,4567.000000
stencil2d,1247,1246,1306,1289,1284,1224,1301,1275,1285,1216,1247.000000,1246.000000,1306.000000,1289.000000,1284.000000,1224.000000,1301.000000,1275.000000,1285.000000,1216.000000
scan,2650,2645,2650,2725,2684,2674,2700,2716,2726,2677,2650.000000,2645.000000,2650.000000,2725.000000,2684.000000,2674.000000,2700.000000,2716.000000,2726.000000,2677.000000
ndrsd1,3769,3559,3752,3745,3775,3724,3746,3803,3768,3805,3769.000000,3559.000000,3752.000000,3745.000000,3775.000000,3724.000000,3746.000000,3803.000000,3768.000000,3805.000000
ndrsd2,9969,10018,10030,10038,10036,10020,9893,10031,10101,9984,9969.000000,10018.000000,10030.000000,10038.000000,10036.000000,10020.000000,9893.000000,10031.000000,10101.000000,9984.000000
ndrsd3,722,736,781,727,763,742,720,726,708,725,722.000000,736.000000,781.000000,727.000000,763.000000,742.000000,720.000000,726.000000,708.000000,725.000000
ndrsd4,36772,36772,36758,36793,36780,36788,36783,36731,36802,36783,36772.000000,36772.000000,36758.000000,36793.000000,36780.000000,36788.000000,36783.000000,36731.000000,36802.000000,36783.000000
ndrsdfull,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
